,year,month,ind,rain,gdf,rd,wd
0,1941,1,0,117.1,15.5,17,16
1,1941,2,0,69.2,18.4,18,16
2,1941,3,0,107.3,39.7,23,17
3,1941,4,0,78.1,17.1,12,10
4,1941,5,0,56.8,23.9,12,9
5,1941,6,0,19.5,6.2,8,5
6,1941,7,0,42.3,7.5,15,10
7,1941,8,0,63.6,8,23,20
8,1941,9,0,18.3,3.2,11,6
9,1941,10,0,48.6,14.8,14,9
10,1941,11,0,83.0,12.9,26,16
11,1941,12,0,43.0,18.7,15,9
12,1942,1,0,93.0,22,24,18
13,1942,2,0,26.4,9.2,12,6
14,1942,3,0,70.0,14.1,22,14
15,1942,4,0,28.5,5.1,13,9
16,1942,5,0,107.0,17.8,18,16
17,1942,6,0,3.1,2.2,4,1
18,1942,7,0,54.4,15.8,19,13
19,1942,8,0,95.5,26.6,21,14
20,1942,9,0,113.5,25.3,18,11
21,1942,10,0,37.6,5.1,20,12
22,1942,11,0,12.6,4,11,3
23,1942,12,0,72.1,13.4,21,14
24,1943,1,0,108.1,19.1,24,14
25,1943,2,0,25.1,6.2,15,8
26,1943,3,0,18.4,6.6,12,5
27,1943,4,0,27.3,7,12,6
28,1943,5,0,104.1,27.8,15,11
29,1943,6,0,53.2,11,16,13
30,1943,7,0,40.2,8.6,14,10
31,1943,8,0,64.4,8.3,19,14
32,1943,9,0,65.3,19.2,20,12
33,1943,10,0,68.9,15.8,17,11
34,1943,11,0,62.4,11.3,18,13
35,1943,12,0,46.5,9.5,14,8
36,1944,1,0,81.0,16.9,23,18
37,1944,2,0,29.1,7.9,18,9
38,1944,3,0,7.6,2.7,8,3
39,1944,4,0,42.8,19.2,14,8
40,1944,5,0,23.3,6.2,10,8
41,1944,6,0,37.0,9.1,15,9
42,1944,7,0,60.3,8.2,19,15
43,1944,8,0,66.4,16.3,16,10
44,1944,9,0,141.3,42.8,18,16
45,1944,10,0,65.8,16.2,23,11
46,1944,11,0,126.7,22.3,25,14
47,1944,12,0,43.7,10.3,19,9
48,1945,1,0,36.7,9.5,15,8
49,1945,2,0,52.9,9.8,23,14
50,1945,3,0,13.9,5,6,3
51,1945,4,0,37.9,16.7,12,4
52,1945,5,0,45.6,10,18,9
53,1945,6,0,85.7,14.6,21,19
54,1945,7,0,77.7,39.5,12,8
55,1945,8,0,22.3,5.3,10,8
56,1945,9,0,58.0,17.5,14,9
57,1945,10,0,43.2,15.2,12,7
58,1945,11,0,14.1,4.4,12,5
59,1945,12,0,88.0,19.6,18,12
60,1946,1,0,59.7,12.2,17,8
61,1946,2,0,90.8,22.9,19,8
62,1946,3,0,36.0,6.9,14,8
63,1946,4,0,33.3,6.9,16,10
64,1946,5,0,53.3,17.5,13,11
65,1946,6,0,88.4,31.8,24,20
66,1946,7,0,66.3,17,17,12
67,1946,8,0,136.0,32.1,23,17
68,1946,9,0,151.9,61,24,18
69,1946,10,0,50.4,18.6,7,5
70,1946,11,0,94.4,14.4,17,14
71,1946,12,0,78.3,16.8,19,15
72,1947,1,0,90.8,11.9,21,19
73,1947,2,0,84.2,29.6,15,13
74,1947,3,0,135.9,33,24,18
75,1947,4,0,75.0,19.1,18,13
76,1947,5,0,100.7,24.3,20,15
77,1947,6,0,89.9,16.5,20,15
78,1947,7,0,68.5,17.7,18,10
79,1947,8,0,30.0,30,1,1
80,1947,9,0,45.4,12,14,9
81,1947,10,0,19.1,8.3,10,7
82,1947,11,0,71.9,10.4,21,16
83,1947,12,0,116.9,37.7,16,13
84,1948,1,0,175.2,32.1,26,20
85,1948,2,0,40.8,8.8,20,10
86,1948,3,0,42.4,17.2,14,7
87,1948,4,0,64.4,18.3,18,12
88,1948,5,0,52.3,20.4,13,8
89,1948,6,0,64.7,14.8,21,12
90,1948,7,0,57.3,19.2,14,10
91,1948,8,0,103.3,30.3,16,10
92,1948,9,0,56.8,12.1,19,13
93,1948,10,0,24.8,6.2,13,7
94,1948,11,0,34.9,6.2,14,9
95,1948,12,0,103.2,17.1,19,16
96,1949,1,0,56.4,27,13,8
97,1949,2,0,27.2,5.4,10,8
98,1949,3,0,48.9,14.5,11,9
99,1949,4,0,47.9,21,15,10
100,1949,5,0,30.6,6.9,15,7
101,1949,6,0,20.0,7.1,9,6
102,1949,7,0,40.3,14,11,8
103,1949,8,0,71.0,24,16,11
104,1949,9,0,23.5,9.5,9,5
105,1949,10,0,89.2,31.8,20,13
106,1949,11,0,42.0,9.8,21,13
107,1949,12,0,70.0,11.8,22,18
108,1950,1,0,14.4,5.5,9,5
109,1950,2,0,112.4,27.5,21,19
110,1950,3,0,28.4,10.5,14,9
111,1950,4,0,49.0,10.5,21,18
112,1950,5,0,33.4,11.6,12,7
113,1950,6,0,30.3,8.3,11,9
114,1950,7,0,76.6,22.5,21,15
115,1950,8,0,138.2,23.9,24,20
116,1950,9,0,104.7,23.8,21,18
117,1950,10,0,75.2,21.2,17,12
118,1950,11,0,53.6,8.9,18,14
119,1950,12,0,49.9,18.8,22,14
120,1951,1,0,73.9,19.2,20,11
121,1951,2,0,66.7,16.4,21,13
122,1951,3,0,93.4,17.7,20,16
123,1951,4,0,33.9,6.2,18,13
124,1951,5,0,53.6,15.6,14,11
125,1951,6,0,27.6,5.8,14,8
126,1951,7,0,47.7,9,11,10
127,1951,8,0,84.7,18.2,25,17
128,1951,9,0,61.1,14.7,13,11
129,1951,10,0,12.1,4.5,10,4
130,1951,11,0,120.7,36.8,23,17
