Date,Rainfall,Temperature
1831,91.2,7.4
1831,91.2,11.55
1831,91.2,10.0
1831,91.2,3.9
1831,91.2,8.85
1831,91.2,16.65
1831,91.2,16.1
1831,91.2,14.7
1831,91.2,12.5
1831,91.2,9.55
1831,91.2,11.7
1831,91.2,9.7
1831,109.2,7.4
1831,109.2,11.55
1831,109.2,10.0
1831,109.2,3.9
1831,109.2,8.85
1831,109.2,16.65
1831,109.2,16.1
1831,109.2,14.7
1831,109.2,12.5
1831,109.2,9.55
1831,109.2,11.7
1831,109.2,9.7
1831,42.8,7.4
1831,42.8,11.55
1831,42.8,10.0
1831,42.8,3.9
1831,42.8,8.85
1831,42.8,16.65
1831,42.8,16.1
1831,42.8,14.7
1831,42.8,12.5
1831,42.8,9.55
1831,42.8,11.7
1831,42.8,9.7
1831,21.4,7.4
1831,21.4,11.55
1831,21.4,10.0
1831,21.4,3.9
1831,21.4,8.85
1831,21.4,16.65
1831,21.4,16.1
1831,21.4,14.7
1831,21.4,12.5
1831,21.4,9.55
1831,21.4,11.7
1831,21.4,9.7
1831,71.0,7.4
1831,71.0,11.55
1831,71.0,10.0
1831,71.0,3.9
1831,71.0,8.85
1831,71.0,16.65
1831,71.0,16.1
1831,71.0,14.7
1831,71.0,12.5
1831,71.0,9.55
1831,71.0,11.7
1831,71.0,9.7
1831,84.5,7.4
1831,84.5,11.55
1831,84.5,10.0
1831,84.5,3.9
1831,84.5,8.85
1831,84.5,16.65
1831,84.5,16.1
1831,84.5,14.7
1831,84.5,12.5
1831,84.5,9.55
1831,84.5,11.7
1831,84.5,9.7
1831,74.3,7.4
1831,74.3,11.55
1831,74.3,10.0
1831,74.3,3.9
1831,74.3,8.85
1831,74.3,16.65
1831,74.3,16.1
1831,74.3,14.7
1831,74.3,12.5
1831,74.3,9.55
1831,74.3,11.7
1831,74.3,9.7
1831,84.5,7.4
1831,84.5,11.55
1831,84.5,10.0
1831,84.5,3.9
1831,84.5,8.85
1831,84.5,16.65
1831,84.5,16.1
1831,84.5,14.7
1831,84.5,12.5
1831,84.5,9.55
1831,84.5,11.7
1831,84.5,9.7
1831,146.4,7.4
1831,146.4,11.55
1831,146.4,10.0
