Date,Rainfall
1831,91.2
1831,109.2
1831,42.8
1831,21.4
1831,71.0
1831,84.5
1831,74.3
1831,84.5
1831,146.4
1831,194.8
1831,161.1
1832,46.8
1832,56.3
1832,80.2
1832,57.3
1832,42.0
1832,94.5
1832,42.0
1832,108.8
1832,40.1
1832,113.6
1832,127.9
1832,145.1
1833,24.4
1833,137.0
1833,34.8
1833,69.7
1833,47.6
1833,126.5
1833,70.8
1833,51.1
1833,117.2
1833,118.4
1833,159.0
1833,204.3
1834,184.3
1834,98.2
1834,65.8
1834,14.2
1834,45.6
1834,101.3
1834,113.4
1834,82.0
1834,79.0
1834,88.1
1834,78.0
1834,62.8
1835,82.7
1835,145.5
1835,88.2
1835,29.8
1835,105.8
1835,38.6
1835,83.8
1835,76.1
1835,137.8
1835,114.7
1835,137.8
1835,61.7
1836,98.2
1836,47.5
1836,115.9
1836,56.3
1836,8.8
1836,83.9
1836,143.5
1836,59.6
1836,128.0
1836,125.8
1836,140.2
1836,96.0
1837,62.8
1837,118.6
1837,35.9
1837,63.8
1837,53.8
1837,61.8
1837,116.6
1837,71.8
1837,79.7
1837,100.7
1837,109.6
1837,121.6
1838,53.8
1838,83.8
1838,85.9
1838,75.5
1838,47.6
1838,97.2
1838,106.5
1838,114.8
1838,59.0
1838,84.8
1838,143.8
1838,81.7
1839,76.0
1839,78.3
1839,92.1
1839,51.8
1839,23.0
1839,89.8
1839,127.8
1839,110.5
1839,163.5
1839,117.4
1839,108.2
1839,112.8
1840,133.8
1840,72.4
1840,11.9
1840,28.4
1840,83.4
1840,68.7
1840,86.2
1840,100.8
1840,77.9
1840,48.6
1840,121.0
1840,83.4
1841,66.5
1841,69.7
1841,90.5
1841,52.0
1841,64.5
1841,67.6
1841,81.1
1841,108.1
1841,93.6
1841,138.3
1841,104.0
1841,104.0
1842,89.2
1842,95.2
1842,93.2
1842,16.8
1842,98.1
1842,60.5
1842,105.1
1842,50.5
1842,93.2
1842,57.5
1842,157.6
1842,74.3
1843,81.8
1843,53.2
1843,61.1
1843,102.5
