,Average Maximum Temperature,Average Minimum Temperature,Mean Temperature,Highest Temperature,Lowest Temperature
Source: Met Eireann.,,,,,
1958,8.2,3.5,5.9,12.8,-4.8
1958,8.8,4.1,6.5,12.3,-1.7
1958,7.8,3,5.4,12.6,-2.6
1958,11.6,5.6,8.6,17.9,-0.4
1958,13,6.2,9.6,20.2,2.5
1958,15.7,10.5,13.1,18.8,6.7
1958,17.6,11.4,14.5,21.7,6.2
1958,17.4,12.2,14.8,18.8,8
1958,17.6,11.4,14.5,21.1,4.8
1958,13.6,8.9,11.3,16.8,2.7
1958,11.4,7.1,9.3,13.8,0.1
1958,8.7,3.3,6,11.7,-1.6
1959,7.1,1.5,4.3,10.2,-4.2
1959,9.5,4.7,7.1,12.6,-3.3
1959,10.8,4.8,7.8,13.8,1
1959,11.8,5.7,8.8,15.3,1.9
1959,15.8,8.1,12,23.3,1.7
1959,16.9,10.2,13.6,22.3,5.8
1959,17.1,12.1,14.6,21.7,8.5
1959,17.8,12.1,15,21.8,8.2
1959,18.2,10.7,14.5,23.2,7.2
1959,15.3,10,12.7,21.7,5.1
1959,10.7,5.7,8.2,14.8,-0.5
1959,9.4,4.5,7,11.8,-2.1
1960,8.3,2.9,5.6,12.6,-3.8
1960,7.9,2.2,5.1,12,-2.3
1960,10.6,4.7,7.7,14.6,-0.9
1960,12.6,5.8,9.2,17.1,1.6
1960,15.4,8.5,12,19,2.6
1960,16.9,10.7,13.8,23.3,6.6
1960,17,11.6,14.3,17.9,7.9
1960,17.2,10.8,14,19.7,5.2
1960,15.8,10.5,13.2,18.3,8.7
1960,13.3,7,10.2,17.2,2.3
1960,10.4,5.8,8.1,14.7,-0.8
1960,8.2,3.4,5.8,11.2,-0.9
1961,8.1,2.9,5.5,11.6,-1.1
1961,10.1,5.8,8,11.7,1.2
1961,11.4,7.3,9.4,15.2,3.2
1961,12.4,6.2,9.3,16.4,-1.1
1961,14.3,7.4,10.9,19.9,3.3
1961,15.1,9.9,12.5,18.4,5.2
1961,15.3,10.5,12.9,17.2,6.3
1961,16.5,11.1,13.8,20.6,7.3
1961,16,10.3,13.2,20.2,5.7
1961,12.9,7.9,10.4,17.7,4.5
1961,9.9,4.9,7.4,13.6,0.6
1961,7.1,1.7,4.4,12.9,-5.1
1962,8.4,3.2,5.8,10.8,-3.4
1962,9.1,4.3,6.7,11.7,0.1
1962,8.3,1.9,5.1,11.3,-5.5
1962,11.9,4.7,8.3,19.1,0.3
1962,13.7,7.1,10.4,18.9,3.4
1962,15.3,9.2,12.3,19.9,1.9
1962,16.9,11.2,14.1,22.2,7.8
1962,16.4,10.6,13.5,21.9,5.1
1962,14.8,9.2,12,17.9,3.5
1962,14,9.1,11.6,17.3,4.6
1962,9.9,5.1,7.5,12.9,0.7
1962,8.6,4.1,6.4,12.3,-2.2
1963,4,-1.5,1.3,8.4,-6.4
1963,5.8,0.3,3.1,9.7,-6.3
1963,10.1,4.3,7.2,11.8,0.7
1963,11,5.7,8.4,13.7,-0.5
1963,12.6,6.7,9.7,17.9,2.9
1963,17.4,10.4,13.9,26.6,7.3
1963,16.5,10.8,13.7,19.6,5.1
1963,15.6,10.6,13.1,17.4,6.7
1963,14.7,9.6,12.2,18.3,4
1963,13.7,9.2,11.5,15.6,3.6
1963,10.7,5.5,8.1,13,0.6
1963,7.7,2.9,5.3,11.1,-3.2
1964,9,4.4,6.7,12.4,-2.7
1964,8.5,4,6.3,12.3,-0.2
1964,10.2,3.7,7,13.6,-2.2
1964,11.9,5.7,8.8,13.9,-0.5
1964,14.8,8.7,11.8,22.7,5
1964,15.3,9.9,12.6,17.8,3.4
1964,16.2,11.6,13.9,18.5,7.3
1964,16.9,11,14,21.6,4.4
1964,16.5,10.8,13.7,20.2,5.2
1964,13.1,7.7,10.4,18.3,2.2
1964,11.4,6.1,8.8,13.1,1.1
1964,8.8,4.1,6.5,12.6,-0.2
1965,7.4,2.2,4.8,11.2,-4.3
1965,8,1.7,4.9,10.2,-3.9
1965,9.7,4.1,6.9,19.4,-2.6
1965,11.4,5.6,8.5,13.4,1.7
1965,13.7,8.2,11,19.2,4
1965,15.4,10.1,12.8,17.9,4.6
1965,16.3,10.1,13.2,20.1,6.8
1965,16.6,11,13.8,20.4,5.8
1965,13.9,9,11.5,15.9,5.7
1965,14.2,8.5,11.4,16.7,2.3
1965,8.4,3.3,5.9,12.8,-0.6
1965,8.8,3.9,6.4,11.7,-2.2
1966,7.1,2.4,4.8,12.2,-4.9
1966,8.8,4.7,6.8,12.8,1.1
1966,10.3,5.7,8,12,1.1
1966,10.1,5.2,7.7,15.5,0.6
1966,13.5,7.7,10.6,21.1,2.1
