Date,Temperature
1831,7.4
1831,11.55
1831,10
1831,3.9
1831,8.85
1831,16.65
1831,16.1
1831,14.7
1831,12.5
1831,9.55
1831,11.7
1831,9.7
1832,5.4
1832,4.45
1832,7.25
1832,9.75
1832,7.8
1832,10
1832,16.95
1832,12.2
1832,12.8
1832,10
1832,5.55
1832,6.25
1833,4.75
1833,3.75
1833,5.55
1833,10.55
1833,10.55
1833,13.05
1833,16.7
1833,17.05
1833,12.5
1833,15
1833,12.8
1833,7.2
1834,10.6
1834,9.4
1834,11.4
1834,13.9
1834,19.4
1834,#DIV/0!
1834,18.6
1834,19.4
1834,19.7
1834,18.3
1834,8.9
1834,4.7
1835,4.7
1835,7.2
1835,4.2
1835,5.15
1835,17.2
1835,20.6
1835,18.3
1835,20.8
1835,13.75
1835,9.85
1835,10.6
1835,8.85
1836,5.6
1836,5.3
1836,7.2
1836,10.6
1836,13.45
1836,18.6
1836,14.3
1836,17.5
1836,9.9
1836,5.4
1836,9.45
1836,5.7
1837,9.4
1837,7.5
1837,5.55
1837,6.25
1837,13.65
1837,13.35
1837,17.9
1837,11.25
1837,12.65
1837,11.8
1837,5.95
1837,3.4
1838,0
1838,5.3
1838,5
1838,4.5
1838,11.95
1838,13.3
1838,13.85
1838,15.35
1838,15
1838,5.25
1838,5
1838,4.2
1839,5.1
1839,5.85
1839,3.35
1839,5.85
1839,10.1
1839,14.6
1839,14.45
1839,13.2
1839,11.65
1839,8.3
1839,3.9
1839,3.9
1840,6.4
1840,-4.6
1840,7.5
1840,13.35
1840,11.55
1840,12.9
1840,14.2
1840,14.45
1840,7.7
1840,7.65
1840,7.8
1840,1.95
1841,7.55
1841,4.05
1841,8.45
1841,10.45
1841,13.2
1841,13.85
1841,10.9
1841,12.35
1841,14.15
1841,10
1841,7.6
1841,7.2
1842,3.15
1842,3.2
1842,4.3
1842,12.3
1842,9.85
1842,11.95
1842,14
1842,16.65
1842,14.3
1842,9.45
1842,7.05
1842,12.35
1843,6.5
1843,2.75
1843,10.55
1843,8.75
1843,2.5
1843,13.05
1843,13.9
1843,16.55
1843,9.3
1843,15.65
1843,5.15
1843,7.3
1844,6.5
1844,4
1844,0.65
1844,6.65
1844,5.85
1844,12.35
1844,12.9
1844,15.25
1844,9.85
1844,12.65
1844,9
1844,6.35
1845,5.15
1845,6.1
1845,1.5
1845,7.4
1845,7.8
1845,13.4
1845,11.95
1845,12.75
1845,6.1
1845,7.75
1845,9.15
1845,10.4
1846,6.9
1846,5.15
1846,-0.7
1846,4.75
1846,11.9
1846,19.55
1846,19.6
1846,14.85
1846,11.55
1846,8.2
1846,5.1
1846,6.5
1847,6.35
1847,-2.55
1847,3.45
1847,8.85
1847,10.8
1847,13.2
1847,18.75
1847,15.35
1847,16.75
1847,12.85
1847,9.55
1847,6.5
1848,1.2
1848,9.05
1848,4
1848,5.35
1848,12.55
1848,10.2
1848,16.5
1848,13.5
1848,12.15
1848,9.05
1848,6.85
1848,9.55
1849,3.3
1849,7.5
1849,8.3
1849,4.95
1849,13.35
1849,13.7
1849,12.6
1849,16.2
1849,14.3
1849,14.45
1849,13.45
1849,-0.4
1850,1.45
1850,7.35
1850,-0.25
1850,9.25
1850,4.15
1850,11.65
1850,16.6
1850,14.45
1850,12.25
1850,9.65
1850,10.25
1850,10.7
1851,7.8
1851,3.75
1851,6.3
1851,11
1851,5.9
1851,18.1
1851,12.75
1851,19.5
1851,11.45
1851,7.4
1851,0.3
1851,10.45
1852,5.7
1852,4.7
1852,6
1852,4.85
1852,11.25
1852,13.35
1852,17.35
1852,13.2
1852,6.4
1852,10.3
1852,9.1
1852,9.95
1853,#DIV/0!
1853,#DIV/0!
1853,#DIV/0!
1853,#DIV/0!
1853,#DIV/0!
1853,#DIV/0!
1853,#DIV/0!
1853,#DIV/0!
1853,#DIV/0!
1853,#DIV/0!
1853,#DIV/0!
1853,#DIV/0!
1854,#DIV/0!
1854,#DIV/0!
1854,#DIV/0!
1854,#DIV/0!
1854,#DIV/0!
1854,#DIV/0!
1854,#DIV/0!
1854,#DIV/0!
1854,#DIV/0!
1854,#DIV/0!
1854,#DIV/0!
1854,#DIV/0!
1855,#DIV/0!
1855,-1.55
1855,4.35
1855,8.65
1855,11.7
1855,10.65
1855,14.4
1855,12.65
1855,15.35
1855,10.05
1855,5.5
1855,6.75
1856,7.65
1856,4.75
1856,5.05
1856,10.55
1856,8.5
1856,16.2
1856,17.75
1856,15.35
1856,14.85
1856,12.7
1856,5.95
1856,6.9
1857,4.55
1857,3.9
1857,5
1857,5.55
1857,6.3
1857,13.05
1857,17.9
1857,16.1
1857,11.5
1857,11.1
1857,10.7
1857,10.85
1858,9.35
1858,4.85
1858,5.7
1858,2.15
1858,11.45
1858,15.8
1858,14.05
1858,13.5
1858,14.6
1858,9.35
1858,5.95
1858,6.15
1859,6.65
1859,5.75
1859,11
1859,13.25
1859,5.65
1859,15.3
1859,14.75
1859,12.55
1859,10.2
1859,17.85
1859,4.4
1859,1.4
1860,4.2
1860,6.6
1860,7.5
1860,7.45
1860,14.3
1860,9.9
1860,12.55
1860,13.35
1860,13.45
1860,10.95
1860,5.5
1860,4.5
1861,0.35
1861,1.9
1861,10.5
1861,11.8
1861,17.55
1861,13.5
1861,15
1861,17.75
1861,9.95
1861,8.75
1861,-0.45
1861,1.85
1862,5.65
1862,8.85
1862,-1.15
1862,10.25
1862,15
1862,12.3
1862,14.25
1862,14.8
1862,11.25
1862,4.9
1862,2.3
1862,7.3
1863,4.15
1863,5.75
1863,10
1863,7.2
1863,11.35
1863,12.5
1863,12.15
1863,14.5
1863,11.95
1863,12.6
1863,11.8
1863,3.75
1864,7.95
1864,-2.35
1864,6.9
1864,7.8
1864,11.8
1864,10.85
1864,17.4
1864,19.3
1864,14.05
1864,9.2
1864,5.95
1864,0.05
1865,-0.7
1865,1.05
1865,2.65
1865,10.1
1865,10.15
1865,18.35
1865,17.2
1865,13.7
1865,11.85
1865,5.45
1865,4.1
1865,4.75
1866,5
1866,7.85
1866,2.6
1866,10.7
1866,9.1
1866,14.45
1866,16.2
1866,14.05
1866,9.8
1866,12.05
1866,5.7
1866,10.05
1867,-1
1867,8.9
1867,3.65
1867,7.5
1867,6.65
1867,14.55
1867,17.85
1867,13.75
1867,14.75
1867,12.95
1867,4.15
1867,3.2
1868,3.65
1868,11.25
1868,9.5
1868,3.75
1868,13.45
1868,12.8
1868,14.8
1868,20.85
1868,10.1
1868,8
1868,3.95
1868,3.8
1869,8.8
1869,9.35
1869,2.3
1869,10.05
1869,7.9
1869,8.75
1869,14
1869,20.2
1869,17.05
1869,17.55
1869,7.5
1869,3.85
1870,1.8
1870,5.2
1870,3.45
1870,9.8
1870,10.4
1870,17.45
1870,13.15
1870,17.55
1870,17.4
1870,5.1
1870,2.95
1870,2.75
1871,2.75
1871,10.15
1871,3.25
1871,9.05
1871,13.6
1871,14.4
1871,15.1
1871,16.1
1871,8.6
1871,11.35
1871,5.55
1871,5.25
1872,2.25
1872,5.6
1872,8.7
1872,8.35
1872,12.95
1872,13.25
1872,13.8
1872,16.1
1872,19.8
1872,6.1
1872,8.1
1872,0.55
1873,1.8
1873,3.5
1873,4.7
1873,7.5
1873,9
1873,11.85
1873,20
1873,17.4
1873,14.85
1873,6.1
1873,11.15
1873,9.55
1874,5.5
1874,1.4
1874,10.3
1874,6.7
1874,12.1
1874,15.85
1874,15.1
1874,15.85
1874,16.75
1874,11.95
1874,6.95
1874,2.9
1875,9.6
1875,2.2
1875,7.85
1875,10.2
1875,14.7
1875,15.6
1875,16.4
1875,12.9
1875,13.5
1875,7.9
1875,5.4
1875,-0.55
1876,8.85
1876,10.6
1876,5.85
1876,7.65
1876,8.35
1876,14.75
1876,18.75
1876,15.15
1876,12.4
1876,13.15
1876,3.3
1876,6.85
1877,4.55
1877,4
1877,8.15
1877,7.75
1877,6.6
1877,16.95
1877,17.1
1877,16.65
1877,12
1877,9.1
1877,7.45
1877,4.7
1878,5.85
1878,3.7
1878,7.8
1878,12.7
1878,12.3
1878,13.55
1878,14.55
1878,14.3
1878,12.45
1878,16.5
1878,2.9
1878,-2.9
1879,-0.85
1879,3.25
1879,5.25
1879,8.4
1879,8.45
1879,15
1879,10.85
1879,13.45
1879,11.45
1879,8.8
1879,4.9
1879,1.25
1880,4.65
1880,5.3
1880,5.3
1880,12.1
1880,14.9
1880,15.6
1880,14.15
1880,16.05
1880,11.8
1880,8.85
1880,-0.55
1880,3.75
1881,-5.75
1881,2.4
1881,2.6
1881,3
1881,8.45
1881,13.6
1881,16.85
1881,12.6
1881,13.2
1881,4.2
1881,9.9
1881,7.35
1882,6.35
1882,6.2
1882,8.6
1882,7.45
1882,8.85
1882,9.15
1882,16.2
1882,15.35
1882,12.25
1882,9.95
1882,2.55
1882,-5.25
1883,3.85
1883,6.25
1883,1.75
1883,7.4
1883,10.5
1883,16.55
1883,14.65
1883,14.75
1883,10.45
1883,6.55
1883,6.4
1883,6.65
1884,3.25
1884,4.35
1884,6.3
1884,6.35
1884,13.05
1884,10
1884,15.2
1884,13.1
1884,10.55
1884,12.3
1884,5.6
1884,3.7
1885,3.2
1885,-1.1
1885,5.75
1885,8.25
1885,8.75
1885,13.6
1885,12.7
1885,14
1885,13.85
1885,8.85
1885,8.2
1885,-0.9
1886,-0.5
1886,6
1886,1.75
1886,5.95
1886,10.95
1886,9.1
1886,15.5
1886,13.8
1886,16.05
1886,9.35
1886,5.8
1886,3.65
1887,0.1
1887,4.75
1887,6.25
1887,3.95
1887,10.95
1887,14.5
1887,17.85
1887,11.5
1887,11.85
1887,4.55
1887,4
1887,1.35
1888,8.95
1888,1.35
1888,6.35
1888,5.65
1888,8.95
1888,6.85
1888,15.35
1888,12.85
1888,12.15
1888,7.25
1888,8.3
1888,2.5
1889,3.85
1889,2.35
1889,8.5
1889,7.05
1889,13.1
1889,13.2
1889,15.75
1889,16.95
1889,14.05
1889,7.8
1889,12.65
1889,8.25
1890,6.75
1890,6.35
1890,9.2
1890,6.6
1890,11.1
1890,13.8
1890,10.15
1890,11.15
1890,11.95
1890,8.45
1890,8.55
1890,1.3
1891,5.1
1891,7.4
1891,2.85
1891,5.5
1891,9.8
1891,14.4
1891,15.1
1891,12.75
1891,13
1891,10.8
1891,3.65
1891,4.4
1892,7.45
1892,2.8
1892,0.85
1892,8.7
1892,6.65
1892,13.5
1892,11.95
1892,10.5
1892,12.2
1892,6.45
1892,9.8
1892,10.75
1893,10.45
1893,1.95
1893,6.7
1893,11.25
1893,13.1
1893,10.65
1893,13.25
1893,16.85
1893,15.25
1893,7.75
1893,6.45
1893,2.45
1894,0.2
1894,4.55
1894,4.1
1894,11.9
1894,10.6
1894,10.15
1894,13.7
1894,13.45
1894,11.75
1894,10.25
1894,1.9
1894,5.45
1895,-2.1
1895,-4.1
1895,8.1
1895,5.8
1895,13
1895,18.2
1895,12.5
1895,12.15
1895,14.65
1895,2.75
1895,8.5
1895,1.5
1896,6.05
1896,6.8
1896,10.85
1896,7.4
1896,10.7
1896,17.3
1896,18
1896,13
1896,12.95
1896,3.25
1896,8
1896,-0.7
1897,5.85
1897,7.45
1897,3
1897,2.6
1897,10.45
1897,14.1
1897,14.3
1897,13.25
1897,10.4
1897,11.85
1897,8.55
1897,6.1
1898,8.2
1898,2.25
1898,2.85
1898,6.9
1898,11.15
1898,12.85
1898,15.75
1898,12.45
1898,10
1898,9.5
1898,13.6
1898,9.3
1899,3.4
1899,3.8
1899,11.5
1899,7.35
1899,6.7
1899,15.15
1899,17.3
1899,17.35
1899,13.3
1899,11.6
1899,4.75
1899,4.5
1900,3.65
1900,2.35
1900,3.8
1900,6.25
1900,7.15
1900,12.9
1900,15.8
1900,11.65
1900,11.35
1900,7.4
1900,8.25
1900,8.7
1901,5.15
1901,2.75
1901,3.65
1901,6.65
1901,10.3
1901,13
1901,13.65
1901,12.25
1901,12.1
1901,9.2
1901,0.2
1901,1.55
1902,4.15
1902,0.3
1902,7.8
1902,11.45
1902,8.15
1902,11.85
1902,16.15
1902,11.8
1902,10.9
1902,11.25
1902,8.8
1902,9.75
1903,5.8
1903,5.05
1903,4.8
1903,10.05
1903,6.9
1903,10
1903,15.75
1903,10.85
1903,9.8
1903,8.1
1903,8.35
1903,0.9
1904,4.5
1904,3.1
1904,2.3
1904,10.35
1904,11.45
1904,12.5
1904,17.35
1904,19.55
1904,16.35
1904,5.7
1904,10.9
1904,6.2
1905,2.2
1905,2.05
1905,4.4
1905,11
1905,11.6
1905,15.25
1905,18.1
1905,10.65
1905,15.3
1905,8.5
1905,5.6
1905,6.65
1906,5.05
1906,4.9
1906,6
1906,3.15
1906,9.65
1906,12.15
1906,17.75
1906,16.85
1906,16.5
1906,14.75
1906,10.6
1906,-4.15
1907,3.15
1907,2.35
1907,4.5
1907,5.75
1907,12.4
1907,9.65
1907,10.2
1907,10.75
1907,15.25
1907,10.35
1907,7.8
1907,2.4
1908,9.4
1908,7.75
1908,2
1908,4.85
1908,11.3
1908,9.05
1908,15.8
1908,14.9
1908,14.25
1908,13.2
1908,10.45
1908,5.1
1909,3.7
1909,2.5
1909,7.8
1909,11.35
1909,17.8
1909,10.7
1909,15.55
1909,11.6
1909,11.55
1909,14.05
1909,5.75
1909,-2.95
1910,4.25
1910,2.75
1910,4.65
1910,4.45
1910,10.9
1910,11.6
1910,13.55
1910,15.65
1910,9.9
1910,8.85
1910,9.1
1910,2.35
1911,10.5
1911,7.35
1911,4.9
1911,7.5
1911,14.45
1911,13.15
1911,19.3
1911,15.45
1911,17.5
1911,7.2
1911,8.5
1911,8.15
1912,8.9
1912,-3.85
1912,6.1
1912,4.7
1912,10
1912,10.55
1912,12.2
1912,13.35
1912,11.1
1912,10.85
1912,1.65
1912,11.95
1913,8.05
1913,2.8
1913,8.85
1913,8.6
1913,8.05
1913,13.35
1913,14.2
1913,13.6
1913,13.05
1913,12.75
1913,7.5
1913,6.4
1914,6.1
1914,2.8
1914,7.2
1914,6.65
1914,14.7
1914,12.75
1914,15.25
1914,14.15
1914,8.3
1914,5.85
1914,6.65
1914,4.45
1915,4.2
1915,1.4
1915,6.95
1915,9.7
1915,8.3
1915,11.4
1915,14.15
1915,15.8
1915,16.4
1915,7.8
1915,2.25
1915,5.55
1916,5
1916,4.7
1916,4.45
1916,6.4
1916,8.35
1916,11.35
1916,15
1916,17.75
1916,13.05
1916,11.95
1916,8.05
1916,3.05
1917,10.25
1917,0.3
1917,7.2
1917,10.25
1917,14.7
1917,11.65
1917,16.65
1917,15
1917,13.6
1917,6.95
1917,4.2
1917,4.15
1918,10.25
1918,9.45
1918,11.1
1918,3.9
1918,8.9
1918,14.15
1918,13.9
1918,16.4
1918,11.4
1918,4.2
1918,6.95
1918,11.95
1919,3.6
1919,2.2
1919,8.35
1919,8.65
1919,13.3
1919,11.35
1919,13.35
1919,17.5
1919,8.85
1919,6.95
1919,4.15
1919,2.5
1920,6.7
1920,7.8
1920,7.75
1920,6.95
1920,10.85
1920,14.15
1920,11.4
1920,12.8
1920,10.85
1920,5.55
1920,4.15
1920,2.2
1921,11.1
1921,4.45
1921,6.4
1921,6.95
1921,11.7
1921,12.75
1921,17.5
1921,11.95
1921,13.9
1921,4.15
1921,2.5
1921,6.1
1922,6.65
1922,5.85
1922,8.9
1922,2.5
1922,9.7
1922,12.8
1922,13.6
1922,14.15
1922,8.6
1922,12.75
1922,8.9
1922,5.3
1923,10.85
1923,4.45
1923,6.9
1923,6.1
1923,7.2
1923,15.55
1923,17.8
1923,15.85
1923,8.05
1923,8.65
1923,-1.1
1923,7.2
1924,4.45
1924,1.65
1924,2.8
1924,3.05
1924,7.25
1924,11.1
1924,14.2
1924,13.3
1924,9.15
1924,8.05
1924,8.9
1924,7.5
1925,6.4
1925,3.05
1925,4.75
1925,3.9
1925,10.55
1925,12.5
1925,14.7
1925,15.3
1925,13.05
1925,11.15
1925,1.95
1925,3.35
1926,5
1926,3.6
1926,5.55
1926,5
1926,14.7
1926,10.8
1926,13.9
1926,13.9
1926,15.55
1926,5.55
1926,5.3
1926,8.05
1927,3.85
1927,4.45
1927,2.75
1927,8.85
1927,10
1927,11.4
1927,15
1927,15
1927,8.9
1927,8.3
1927,7.2
1927,0
1928,2.5
1928,8.65
1928,3.05
1928,11.1
1928,8.05
1928,13.9
1928,16.1
1928,13.3
1928,13.6
1928,10.55
1928,5.3
1928,5.8
1929,8.65
1929,-0.55
1929,3.35
1929,5.85
1929,7.2
1929,13.9
1929,17.8
1929,15.25
1929,10.85
1929,5.3
1929,6.65
1929,3.6
1930,2.5
1930,-0.3
1930,4.7
1930,8.9
1930,10.85
1930,14.45
1930,16.4
1930,17.25
1930,8.6
1930,6.9
1930,10
1930,2.2
1931,0.3
1931,2.2
1931,6.4
1931,8.35
1931,11.95
1931,11.65
1931,14.7
1931,15
1931,10.85
1931,8.05
1931,13.05
1931,5
1932,7.2
1932,3.35
1932,7.8
1932,6.65
1932,6.4
1932,17.2
1932,15.85
1932,18.85
1932,12.5
1932,10.55
1932,6.95
1932,5.55
1933,0.55
1933,10.3
1933,5.3
1933,12.25
1933,11.95
1933,17.5
1933,16.4
1933,14.45
1933,16.95
1933,11.95
1933,6.7
1933,5.55
1934,6.95
1934,4.2
1934,6.95
1934,8.35
1934,12.2
1934,14.7
1934,17.5
1934,15.55
1934,14.75
1934,7.5
1934,3.9
1934,8.65
1935,2.2
1935,10.55
1935,6.65
1935,5.85
1935,9.45
1935,12.5
1935,13.6
1935,10.3
1935,11.95
1935,9.45
1935,5.3
1935,7.25
1936,1.65
1936,5.8
1936,10.25
1936,5.55
1936,10
1936,17.2
1936,15.25
1936,15.25
1936,13.6
1936,10.85
1936,9.15
1936,6.7
1937,6.4
1937,7.5
1937,5.25
1937,12.5
1937,6.7
1937,11.1
1937,14.7
1937,15.3
1937,16.95
1937,9.75
1937,10.8
1937,6.1
1938,5.55
1938,7.5
1938,11.4
1938,3.35
1938,13.35
1938,13.6
1938,12.75
1938,17.75
1938,13.65
1938,11.1
1938,14.75
1938,5.85
1939,8.35
1939,7.75
1939,4.2
1939,5.8
1939,13.35
1939,11.95
1939,12.5
1939,17.5
1939,19.75
1939,10.25
1939,6.65
1939,8.05
1940,-5.85
1940,5.8
1940,11.15
1940,6.7
1940,10.6
1940,17.2
1940,12.75
1940,18.35
1940,15.85
1940,8.6
1940,7.25
1940,6.4
1941,0
1941,3.9
1941,4.45
1941,5
1941,10.55
1941,18.6
1941,14.15
1941,12.25
1941,16.95
1941,12.75
1941,6.65
1941,7.25
1942,3.9
1942,6.1
1942,5.8
1942,6.65
1942,8.65
1942,16.65
1942,13.9
1942,15.85
1942,12.2
1942,10.6
1942,6.4
1942,8.9
1943,10.55
1943,7.25
1943,8.05
1943,10
1943,13.85
1943,16.95
1943,11.1
1943,11.95
1943,13.6
1943,11.65
1943,5.85
1943,10.55
1944,6.1
1944,1.4
1944,9.45
1944,8.9
1944,6.95
1944,12.75
1944,17.2
1944,15.3
1944,11.1
1944,6.1
1944,10.8
1944,4.45
1945,8.35
1945,8.9
1945,7.5
1945,11.7
1945,3.6
1945,15.6
1945,14.75
1945,15.85
1945,17.2
1945,12.8
1945,7.75
1945,6.65
1946,7.25
1946,0.25
1946,6.7
1946,5.8
1946,9.75
1946,13.65
1946,13.35
1946,14.45
1946,15
1946,11.1
1946,5.55
1946,1.4
1947,3.9
1947,2.5
1947,3.6
1947,4.45
1947,12.5
1947,10.85
1947,19.2
1947,17.8
1947,18.3
1947,8.6
1947,14.45
1947,7.2
1948,11.4
1948,9.15
1948,12.5
1948,5.85
1948,12.75
1948,12.5
1948,14.15
1948,16.35
1948,16.1
1948,7.5
1948,12.25
1948,6.95
1949,4.15
1949,8.35
1949,8.05
1949,14.4
1949,11.35
1949,18.6
1949,17.25
1949,13.05
1949,14.45
1949,14.15
1949,5.55
1949,1.95
1950,5
1950,2.8
1950,4.75
1950,11.9
1950,12.2
1950,12.5
1950,14.45
1950,15
1950,13.3
1950,9.15
1950,4.45
1950,0.55
1951,4.2
1951,3.3
1951,4.45
1951,8.05
1951,6.4
1951,13.9
1951,13.9
1951,12.5
1951,17.5
1951,8.05
1951,11.1
1951,2.8
1952,2.2
1952,8.6
1952,8.6
1952,6.1
1952,11.4
1952,13.05
1952,19.15
1952,12.5
1952,8.9
1952,10.8
1952,0.3
1952,2.75
1953,3.6
1953,2.75
1953,7.8
1953,5.85
1953,9.45
1953,10.8
1953,15.55
1953,15.85
1953,12.5
1953,13.65
1953,9.7
1953,6.4
1954,-0.25
1954,3.65
1954,5
1954,7.2
1954,10.3
1954,13.05
1954,11.7
1954,12.5
1954,7.5
1954,6.1
1954,10.85
1954,8.6
1955,-0.6
1955,1.35
1955,3.6
1955,10.25
1955,11.35
1955,14.7
1955,17.2
1955,16.95
1955,16.1
1955,10.6
1955,7.8
1955,3.05
1956,2.8
1956,6.35
1956,5.8
1956,6.4
1956,12.5
1956,11.1
1956,16.4
1956,10.55
1956,16.1
1956,8.85
1956,6.1
1956,1.95
1957,10
1957,7.5
1957,6.95
1957,10
1957,11.35
1957,8.9
1957,16.1
1957,10.9
1957,13.9
1957,9.65
1957,10.5
1957,3.3
1958,2.25
1958,8.95
1958,9.2
1958,12.2
1958,9.1
1958,11.85
1958,13.5
1958,13.25
1958,17.7
1958,11.95
1958,11.6
1958,6.85
