Year,Mean Temperature
1958M01,5.9
1958M02,6.5
1958M03,5.4
1958M04,8.6
1958M05,9.6
1958M06,13.1
1958M07,14.5
1958M08,14.8
1958M09,14.5
1958M10,11.3
1958M11,9.3
1958M12,6.0
1959M01,4.3
1959M02,7.1
1959M03,7.8
1959M04,8.8
1959M05,12.0
1959M06,13.6
1959M07,14.6
1959M08,15.0
1959M09,14.5
1959M10,12.7
1959M11,8.2
1959M12,7.0
1960M01,5.6
1960M02,5.1
1960M03,7.7
1960M04,9.2
1960M05,12.0
1960M06,13.8
1960M07,14.3
1960M08,14.0
1960M09,13.2
1960M10,10.2
1960M11,8.1
1960M12,5.8
1961M01,5.5
1961M02,8.0
1961M03,9.4
1961M04,9.3
1961M05,10.9
1961M06,12.5
1961M07,12.9
1961M08,13.8
1961M09,13.2
1961M10,10.4
1961M11,7.4
1961M12,4.4
1962M01,5.8
1962M02,6.7
1962M03,5.1
1962M04,8.3
1962M05,10.4
1962M06,12.3
1962M07,14.1
1962M08,13.5
1962M09,12.0
1962M10,11.6
1962M11,7.5
1962M12,6.4
1963M01,1.3
1963M02,3.1
1963M03,7.2
1963M04,8.4
1963M05,9.7
1963M06,13.9
1963M07,13.7
1963M08,13.1
1963M09,12.2
1963M10,11.5
1963M11,8.1
1963M12,5.3
1964M01,6.7
1964M02,6.3
1964M03,7.0
1964M04,8.8
1964M05,11.8
1964M06,12.6
1964M07,13.9
1964M08,14.0
1964M09,13.7
1964M10,10.4
1964M11,8.8
1964M12,6.5
1965M01,4.8
1965M02,4.9
1965M03,6.9
1965M04,8.5
1965M05,11.0
1965M06,12.8
1965M07,13.2
1965M08,13.8
1965M09,11.5
1965M10,11.4
1965M11,5.9
1965M12,6.4
1966M01,4.8
1966M02,6.8
1966M03,8.0
1966M04,7.7
1966M05,10.6
1966M06,13.7
1966M07,13.9
1966M08,14.0
1966M09,13.8
1966M10,9.7
1966M11,7.1
1966M12,7.6
1967M01,6.4
1967M02,6.4
1967M03,7.2
1967M04,8.6
1967M05,9.3
1967M06,12.8
1967M07,13.9
1967M08,13.9
1967M09,12.7
1967M10,9.8
1967M11,7.3
1967M12,7.0
1968M01,6.8
1968M02,3.9
1968M03,7.1
1968M04,8.0
1968M05,9.3
1968M06,12.8
1968M07,13.4
1968M08,14.7
1968M09,13.4
1968M10,12.6
1968M11,7.7
1968M12,5.7
1969M01,5.7
1969M02,3.3
1969M03,5.4
1969M04,8.2
1969M05,10.4
1969M06,12.9
1969M07,14.2
1969M08,14.5
1969M09,13.1
1969M10,13.0
1969M11,6.5
1969M12,6.8
1970M01,5.8
1970M02,4.9
1970M03,6.2
1970M04,7.4
1970M05,11.1
1970M06,14.6
1970M07,13.1
1970M08,14.0
1970M09,13.2
1970M10,11.4
1970M11,8.0
1970M12,6.3
1971M01,6.8
1971M02,6.6
1971M03,7.2
1971M04,8.4
1971M05,10.7
1971M06,12.1
1971M07,14.5
1971M08,14.3
1971M09,14.3
1971M10,12.3
1971M11,8.6
1971M12,8.4
1972M01,4.8
1972M02,5.6
1972M03,6.4
1972M04,8.5
1972M05,10.0
1972M06,10.7
1972M07,13.6
1972M08,13.1
1972M09,12.1
1972M10,11.5
1972M11,7.3
1972M12,7.3
1973M01,6.7
1973M02,6.5
1973M03,7.2
1973M04,7.8
1973M05,10.5
1973M06,12.4
1973M07,13.6
1973M08,14.5
1973M09,13.6
1973M10,10.3
1973M11,8.4
1973M12,7.2
1974M01,7.0
1974M02,6.8
1974M03,6.6
1974M04,9.3
1974M05,10.5
1974M06,12.9
1974M07,13.7
1974M08,14.0
1974M09,11.4
1974M10,9.2
1974M11,6.8
1974M12,8.4
1975M01,7.2
1975M02,6.8
1975M03,6.3
1975M04,8.5
1975M05,9.8
1975M06,13.0
1975M07,15.2
1975M08,15.5
1975M09,12.4
1975M10,11.5
1975M11,8.3
1975M12,7.4
1976M01,7.2
1976M02,6.2
1976M03,7.1
1976M04,9.2
1976M05,10.6
1976M06,13.5
1976M07,15.6
1976M08,16.1
1976M09,13.2
1976M10,9.7
1976M11,7.9
1976M12,4.1
1977M01,5.0
1977M02,5.9
1977M03,7.8
1977M04,7.7
1977M05,10.7
1977M06,12.0
1977M07,14.6
1977M08,14.6
1977M09,12.6
1977M10,12.0
1977M11,6.8
1977M12,7.5
1978M01,5.6
1978M02,4.8
1978M03,6.8
1978M04,7.7
1978M05,10.9
1978M06,12.1
1978M07,13.6
1978M08,13.9
1978M09,13.9
1978M10,12.1
1978M11,9.3
1978M12,6.0
1979M01,3.7
1979M02,4.0
1979M03,5.1
1979M04,7.4
1979M05,8.4
1979M06,12.6
1979M07,14.0
1979M08,13.4
1979M09,12.7
1979M10,11.1
1979M11,8.4
1979M12,6.7
1980M01,4.8
1980M02,6.6
1980M03,6.0
1980M04,8.9
1980M05,11.1
1980M06,12.7
1980M07,13.4
1980M08,14.4
1980M09,13.7
1980M10,9.9
1980M11,8.0
1980M12,7.7
1981M01,7.6
1981M02,6.0
1981M03,7.8
1981M04,9.2
1981M05,10.4
1981M06,12.2
1981M07,13.3
1981M08,15.0
1981M09,13.8
1981M10,8.4
1981M11,8.7
1981M12,4.0
1982M01,5.5
1982M02,6.4
1982M03,6.7
1982M04,9.3
1982M05,10.7
1982M06,14.1
1982M07,14.7
1982M08,14.1
1982M09,12.7
1982M10,10.4
1982M11,7.5
1982M12,6.0
1983M01,7.3
1983M02,4.7
1983M03,7.7
1983M04,6.7
1983M05,9.9
1983M06,12.6
1983M07,16.1
1983M08,16.0
1983M09,13.0
1983M10,10.5
1983M11,8.7
1983M12,7.8
1984M01,5.0
1984M02,6.7
1984M03,6.0
1984M04,9.4
1984M05,10.0
1984M06,12.7
1984M07,15.0
1984M08,16.1
1984M09,12.8
1984M10,10.4
1984M11,7.0
1984M12,6.6
1985M01,2.6
1985M02,5.3
1985M03,6.2
1985M04,8.8
1985M05,9.7
1985M06,12.0
1985M07,13.8
1985M08,12.9
1985M09,13.3
1985M10,10.9
1985M11,5.8
1985M12,7.1
1986M01,5.2
1986M02,2.0
1986M03,5.9
1986M04,9.3
1986M05,9.6
1986M06,12.9
1986M07,13.5
1986M08,12.1
1986M09,11.1
1986M10,11.0
1986M11,7.9
1986M12,6.6
1987M01,4.1
1987M02,5.3
1987M03,5.9
1987M04,9.5
1987M05,10.2
1987M06,11.9
1987M07,14.5
1987M08,14.6
1987M09,13.0
1987M10,9.1
1987M11,8.2
1987M12,6.9
1988M01,5.6
1988M02,6.2
1988M03,7.7
1988M04,9.6
1988M05,10.8
1988M06,13.4
1988M07,13.2
1988M08,13.8
1988M09,12.5
1988M10,10.4
1988M11,7.6
1988M12,9.5
1989M01,8.6
1989M02,6.9
1989M03,7.1
1989M04,6.8
1989M05,11.3
1989M06,13.0
1989M07,15.7
1989M08,14.7
1989M09,12.9
1989M10,11.4
1989M11,7.6
1989M12,5.2
1990M01,7.0
1990M02,6.8
1990M03,8.6
1990M04,8.4
1990M05,13.0
1990M06,12.4
1990M07,15.5
1990M08,15.3
1990M09,12.4
1990M10,11.4
1990M11,8.1
1990M12,6.5
1991M01,5.4
1991M02,4.6
1991M03,8.4
1991M04,8.6
1991M05,11.2
1991M06,12.3
1991M07,15.9
1991M08,15.7
1991M09,14.5
1991M10,10.3
1991M11,8.2
1991M12,7.7
1992M01,6.9
1992M02,7.5
1992M03,8.2
1992M04,8.6
1992M05,12.9
1992M06,14.1
1992M07,15.1
1992M08,13.7
1992M09,11.8
1992M10,9.2
1992M11,8.4
1992M12,6.1
1993M01,7.2
1993M02,8.0
1993M03,7.6
1993M04,9.5
1993M05,11.1
1993M06,13.3
1993M07,14.0
1993M08,13.8
1993M09,13.1
1993M10,9.4
1993M11,7.6
1993M12,6.9
1994M01,6.3
1994M02,5.4
1994M03,7.5
1994M04,8.0
1994M05,10.6
1994M06,12.5
1994M07,14.9
1994M08,14.3
1994M09,12.8
1994M10,11.7
1994M11,10.2
1994M12,7.9
1995M01,6.4
1995M02,7.2
1995M03,6.4
1995M04,9.3
1995M05,10.8
1995M06,14.0
1995M07,16.6
1995M08,17.6
1995M09,13.8
1995M10,12.4
1995M11,9.0
1995M12,4.9
1996M01,6.3
1996M02,5.3
1996M03,6.4
1996M04,9.4
1996M05,9.7
1996M06,13.2
1996M07,14.6
1996M08,15.0
1996M09,14.7
1996M10,12.1
1996M11,8.0
1996M12,5.7
1997M01,5.4
1997M02,7.2
1997M03,8.9
1997M04,10.5
1997M05,12.4
1997M06,13.4
1997M07,15.2
1997M08,16.8
1997M09,14.3
1997M10,11.6
1997M11,9.4
1997M12,8.0
1998M01,6.5
1998M02,9.0
1998M03,9.1
1998M04,8.5
1998M05,12.4
1998M06,13.4
1998M07,14.3
1998M08,15.0
1998M09,14.8
1998M10,11.4
1998M11,8.9
1998M12,8.0
1999M01,6.9
1999M02,7.8
1999M03,8.0
1999M04,10.0
1999M05,12.1
1999M06,12.5
1999M07,15.8
1999M08,15.9
1999M09,14.3
1999M10,11.7
1999M11,9.1
1999M12,6.6
2000M01,7.0
2000M02,7.4
2000M03,8.7
2000M04,8.3
2000M05,11.6
2000M06,13.6
2000M07,16.0
2000M08,15.5
2000M09,14.0
2000M10,10.8
2000M11,7.6
2000M12,6.1
2001M01,5.0
2001M02,6.1
2001M03,6.4
2001M04,8.7
2001M05,12.2
2001M06,13.1
2001M07,14.4
2001M08,14.9
2001M09,14.0
2001M10,12.6
2001M11,10.0
2001M12,6.2
2002M01,8.2
2002M02,7.6
2002M03,8.4
2002M04,9.5
2002M05,11.2
2002M06,12.5
2002M07,13.9
2002M08,14.9
2002M09,14.5
2002M10,10.6
2002M11,9.1
2002M12,6.6
2003M01,6.3
2003M02,6.6
2003M03,8.5
2003M04,10.6
2003M05,11.0
2003M06,14.2
2003M07,15.3
2003M08,16.3
2003M09,14.2
2003M10,11.0
2003M11,9.4
2003M12,7.2
2004M01,7.4
2004M02,7.0
2004M03,7.9
2004M04,9.7
2004M05,11.5
2004M06,13.9
2004M07,14.2
2004M08,16.0
2004M09,14.3
2004M10,10.1
2004M11,9.9
2004M12,8.1
2005M01,7.8
2005M02,6.9
2005M03,9.2
2005M04,9.6
2005M05,10.9
2005M06,14.3
2005M07,15.1
2005M08,15.7
2005M09,14.4
2005M10,12.2
2005M11,8.7
2005M12,7.8
2006M01,6.9
2006M02,7.1
2006M03,6.9
2006M04,9.0
