Year,Month,Max (�C),Min (�C),Ave
1831,1,5.8,-1.1,2.35
1831,2,11.4,,11.4
1831,3,11.4,6.7,9.05
1831,4,15.0,10.0,12.5
1831,5,,10.0,10
1831,6,21.9,13.3,17.6
1831,7,19.7,13.9,16.8
1831,8,,17.2,17.2
1831,9,16.7,7.8,12.25
1831,10,17.5,14.4,15.95
1831,11,10.8,,10.8
1831,12,5.6,1.1,3.35
1832,1,10.0,,10
1832,2,8.9,2.8,5.85
1832,3,10.7,7.2,8.95
1832,4,,,#DIV/0!
1832,5,,,#DIV/0!
1832,6,,14.4,14.4
1832,7,18.3,13.6,15.95
1832,8,18.9,13.3,16.1
1832,9,15.6,10.0,12.8
1832,10,13.3,9.4,11.35
1832,11,8.9,,8.9
1832,12,6.9,3.9,5.4
1833,1,6.7,5.6,6.15
1833,2,10.6,7.8,9.2
1833,3,7.2,3.9,5.55
1833,4,,3.9,3.9
1833,5,17.5,,17.5
1833,6,18.3,11.1,14.7
1833,7,22.8,14.4,18.6
1833,8,,12.8,12.8
1833,9,19.4,11.1,15.25
1833,10,15.0,5.0,10
1833,11,7.8,1.1,4.45
1833,12,4.4,,4.4
1834,1,9.4,,9.4
1834,2,7.2,,7.2
1834,3,10.0,,10
1834,4,,,#DIV/0!
1834,5,15.6,,15.6
1834,6,17.8,,17.8
1834,7,22.2,,22.2
1834,8,17.2,,17.2
1834,9,19.4,,19.4
1834,10,,,#DIV/0!
1834,11,8.9,,8.9
1834,12,7.2,,7.2
1835,1,,,#DIV/0!
1835,2,,,#DIV/0!
1835,3,,5.6,5.6
1835,4,13.6,4.4,9
1835,5,14.4,7.8,11.1
1835,6,20.6,13.9,17.25
1835,7,18.3,15.0,16.65
1835,8,23.9,18.9,21.4
1835,9,15.0,13.3,14.15
1835,10,10.6,3.9,7.25
1835,11,10.6,3.9,7.25
1835,12,9.2,8.1,8.65
1836,1,7.2,6.7,6.95
1836,2,10.0,3.3,6.65
1836,3,6.9,1.7,4.3
1836,4,11.1,4.4,7.75
1836,5,18.1,9.7,13.9
1836,6,,10.0,10
1836,7,15.6,,15.6
1836,8,,15.8,15.8
1836,9,12.8,7.2,10
1836,10,16.7,15.6,16.15
1836,11,10.0,7.2,8.6
1836,12,12.2,7.8,10
1837,1,6.7,2.8,4.75
1837,2,9.4,5.6,7.5
1837,3,8.9,5.0,6.95
1837,4,8.9,-0.6,4.15
1837,5,15.0,7.8,11.4
